Sequence 1,Sequence 2,LCS Value,Time (s)
Seq1,Seq164,0,0.45226
Seq1,Seq158,0,0.8663
Seq1,Seq159,2,0.86737
Seq1,Seq166,0,0.45049
Seq1,Seq167,0,0.45122
Seq1,Seq160,0,0.87751
Seq1,Seq170,0,0.45157
Seq1,Seq161,0,0.85483
Seq1,Seq168,0,0.48821
Seq1,Seq171,0,0.45171
Seq1,Seq172,0,0.4551
Seq1,Seq174,0,0.45264
Seq1,Seq173,0,0.48742
Seq1,Seq175,0,0.44837
Seq1,Seq165,0,0.88706
Seq1,Seq177,0,0.47376
Seq1,Seq178,0,0.47228
Seq1,Seq157,0,1.4155
Seq1,Seq179,0,0.47463
Seq1,Seq180,0,0.46935
Seq1,Seq181,0,0.47393
Seq1,Seq176,0,0.86286
Seq1,Seq169,0,1.33974
Seq2,Seq2,1495,1.34215
Seq2,Seq3,1372,1.33548
Seq2,Seq1,1391,1.37452
Seq2,Seq4,1374,1.34072
Seq2,Seq5,1352,1.33834
Seq2,Seq6,1369,1.33114
Seq2,Seq9,1269,1.22054
Seq2,Seq8,1381,1.33142
Seq2,Seq11,1287,1.26715
Seq2,Seq12,1328,1.32416
Seq2,Seq13,1325,1.31819
Seq2,Seq14,1319,1.33075
Seq2,Seq10,1388,1.38709
Seq2,Seq7,0,1.69157
Seq2,Seq15,1466,1.36532
Seq2,Seq16,1340,1.30345
Seq2,Seq20,1403,1.37782
Seq2,Seq21,1216,1.19226
Seq2,Seq23,1213,1.19455
Seq2,Seq22,1259,1.25715
Seq2,Seq24,1258,1.25048
Seq2,Seq25,1257,1.24234
Seq2,Seq27,1341,1.30201
Seq2,Seq26,1339,1.30316
Seq2,Seq29,1396,1.33793
Seq2,Seq18,1375,1.81087
Seq2,Seq28,1374,1.3872
Seq2,Seq17,1382,1.82376
Seq2,Seq19,1378,1.82346
Seq2,Seq30,1231,1.34593
Seq2,Seq32,1323,1.26247
Seq2,Seq31,1359,1.3393
Seq2,Seq33,1224,1.17833
Seq2,Seq35,1284,1.25902
Seq2,Seq34,1371,1.38095
Seq2,Seq36,1372,1.31673
Seq2,Seq37,1342,1.30183
Seq2,Seq38,1333,1.3
Seq2,Seq40,1339,1.30509
Seq2,Seq39,1341,1.30641
Seq2,Seq44,1300,1.26274
Seq2,Seq41,1345,1.30412
Seq2,Seq45,1299,1.25224
Seq2,Seq42,1325,1.30804
Seq2,Seq43,1316,1.31041
Seq2,Seq46,1302,1.26529
Seq2,Seq47,1264,1.24896
Seq2,Seq48,1257,1.23422
Seq2,Seq50,1253,1.2422
Seq2,Seq51,1259,1.24346
Seq2,Seq52,1374,1.33481
Seq2,Seq53,1407,1.37853
Seq2,Seq54,1403,1.38635
Seq2,Seq56,1341,1.32086
Seq2,Seq61,1308,1.26155
Seq2,Seq57,1301,1.31389
Seq2,Seq59,1348,1.31976
Seq2,Seq58,1390,1.33569
Seq2,Seq60,1351,1.31869
Seq2,Seq55,1371,1.45446
Seq2,Seq49,1370,1.94587
Seq2,Seq62,1288,1.24755
Seq2,Seq64,1304,1.25872
Seq2,Seq63,2,1.34703
Seq2,Seq65,1287,1.24986
Seq2,Seq66,1291,1.25799
Seq2,Seq67,1297,1.25347
Seq2,Seq68,1302,1.25383
Seq2,Seq69,0,1.37032
Seq2,Seq72,1305,1.26129
Seq2,Seq74,1271,1.23566
Seq2,Seq73,1297,1.25337
Seq2,Seq76,1282,1.24167
Seq2,Seq70,0,1.37369
Seq2,Seq78,1217,1.18548
Seq2,Seq71,0,1.3629
Seq2,Seq75,0,1.30966
Seq2,Seq77,0,1.30393
Seq2,Seq79,1278,1.26042
Seq2,Seq80,1285,1.25008
Seq2,Seq81,1293,1.27722
Seq2,Seq82,1294,1.26849
Seq2,Seq83,1280,1.26707
Seq2,Seq84,0,1.34697
