Sequence 1,Sequence 2,LCS Value,Time (s)
Seq54,Seq168,0,0.49208
Seq54,Seq160,0,0.89766
Seq54,Seq171,0,0.46279
Seq54,Seq172,0,0.45826
Seq54,Seq174,0,0.45318
Seq54,Seq173,0,0.49913
Seq54,Seq165,0,0.90798
Seq54,Seq175,0,0.4557
Seq54,Seq177,0,0.4754
Seq54,Seq157,0,1.43991
Seq54,Seq179,0,0.47686
Seq54,Seq178,0,0.4995
Seq54,Seq180,0,0.48115
Seq54,Seq181,0,0.48288
Seq54,Seq176,0,0.87275
Seq54,Seq169,0,1.38169
Seq55,Seq3,1377,1.43626
Seq55,Seq2,1371,1.4553
Seq55,Seq4,1380,1.44357
Seq55,Seq1,1389,1.47608
Seq55,Seq5,1362,1.44306
Seq55,Seq9,1251,1.30571
Seq55,Seq6,1368,1.43836
Seq55,Seq8,1406,1.45116
Seq55,Seq11,1314,1.36724
Seq55,Seq12,1342,1.42296
Seq55,Seq13,1343,1.41875
Seq55,Seq14,1328,1.43322
Seq55,Seq10,1406,1.49347
Seq55,Seq7,0,1.82184
Seq55,Seq15,1390,1.47254
Seq55,Seq16,1319,1.42617
Seq55,Seq21,1238,1.28382
Seq55,Seq20,1437,1.47779
Seq55,Seq23,1241,1.2882
Seq55,Seq22,1257,1.35656
Seq55,Seq25,1283,1.33549
Seq55,Seq24,1257,1.35141
Seq55,Seq26,1315,1.40618
Seq55,Seq27,1317,1.40804
Seq55,Seq29,1368,1.44243
Seq55,Seq28,1392,1.49533
Seq55,Seq18,1495,1.95715
Seq55,Seq17,1497,1.97917
Seq55,Seq19,1491,1.9638
Seq55,Seq30,1227,1.45232
Seq55,Seq31,1341,1.44321
Seq55,Seq32,1349,1.37695
Seq55,Seq33,1287,1.26345
Seq55,Seq35,1300,1.35774
Seq55,Seq34,1379,1.4887
Seq55,Seq36,1427,1.41994
Seq55,Seq37,1351,1.40469
Seq55,Seq38,1358,1.40225
Seq55,Seq39,1353,1.40893
Seq55,Seq40,1358,1.40319
Seq55,Seq41,1352,1.40465
Seq55,Seq45,1325,1.35211
Seq55,Seq44,1327,1.36473
Seq55,Seq43,1326,1.41652
Seq55,Seq42,1331,1.43613
Seq55,Seq46,1328,1.35793
Seq55,Seq48,1262,1.3374
Seq55,Seq47,1275,1.34676
Seq55,Seq50,1261,1.3305
Seq55,Seq51,1267,1.33898
Seq55,Seq52,1380,1.43669
Seq55,Seq53,1435,1.47641
Seq55,Seq54,1395,1.50693
Seq55,Seq56,1334,1.4225
Seq55,Seq57,1306,1.40802
Seq55,Seq61,1333,1.36789
Seq55,Seq59,1335,1.4257
Seq55,Seq58,1357,1.43966
Seq55,Seq55,1610,1.56481
Seq55,Seq60,1338,1.42723
Seq55,Seq62,1302,1.3374
Seq55,Seq49,1535,2.0917
Seq55,Seq64,1327,1.35762
Seq55,Seq63,2,1.49966
Seq55,Seq65,1300,1.34629
Seq55,Seq66,1304,1.35518
Seq55,Seq67,1321,1.35178
Seq55,Seq68,1326,1.35001
Seq55,Seq74,1287,1.33393
Seq55,Seq69,0,1.50697
Seq55,Seq73,1316,1.37261
Seq55,Seq72,1324,1.37586
Seq55,Seq78,1239,1.28875
Seq55,Seq76,1297,1.34248
Seq55,Seq70,0,1.4754
Seq55,Seq71,0,1.47711
Seq55,Seq75,0,1.40196
Seq55,Seq77,0,1.39896
Seq55,Seq79,1316,1.34978
Seq55,Seq80,1301,1.34588
Seq55,Seq81,1326,1.38068
Seq55,Seq82,1312,1.36176
Seq55,Seq83,1315,1.36478
Seq55,Seq84,0,1.45182
Seq55,Seq88,1314,1.39053
Seq55,Seq85,2,1.47021
Seq55,Seq86,0,1.47119
Seq55,Seq92,0,1.40916
Seq55,Seq89,0,1.48204
Seq55,Seq91,0,1.47621
Seq55,Seq93,0,1.44486
Seq55,Seq87,0,1.51271
Seq55,Seq90,0,1.50003
Seq55,Seq94,0,1.41126
Seq55,Seq95,0,1.40175
Seq55,Seq96,0,1.47603
Seq55,Seq105,0,0.65259
Seq55,Seq106,0,0.66922
Seq55,Seq107,0,0.67281
Seq55,Seq108,0,0.71551
Seq55,Seq97,0,1.47212
Seq55,Seq104,0,0.83166
Seq55,Seq110,0,0.78716
Seq55,Seq109,0,0.84082
Seq55,Seq98,0,1.46706
Seq55,Seq111,0,0.82343
Seq55,Seq99,0,1.46993
Seq55,Seq112,0,0.77901
Seq55,Seq100,0,1.45963
Seq55,Seq124,0,0.16588
Seq55,Seq102,0,1.4172
Seq55,Seq101,0,1.46548
Seq55,Seq125,0,0.16593
Seq55,Seq114,0,0.70653
Seq55,Seq126,0,0.16565
Seq55,Seq115,0,0.70417
Seq55,Seq103,0,1.47059
Seq55,Seq113,0,0.81213
Seq55,Seq116,0,0.76949
Seq55,Seq127,0,0.16589
Seq55,Seq128,0,0.16808
Seq55,Seq118,0,0.74728
Seq55,Seq119,0,0.74201
Seq55,Seq117,0,0.781
Seq55,Seq120,0,0.74218
Seq55,Seq123,0,0.66686
Seq55,Seq121,0,0.82582
Seq55,Seq122,0,0.82655
Seq55,Seq130,0,0.65279
Seq55,Seq131,0,0.67163
Seq55,Seq132,0,0.67178
Seq55,Seq133,0,0.67883
Seq55,Seq129,0,0.83342
Seq55,Seq134,0,0.80915
Seq55,Seq139,0,0.70875
Seq55,Seq140,0,0.70038
Seq55,Seq135,0,0.78906
Seq55,Seq137,0,0.78343
Seq55,Seq141,0,0.74963
Seq55,Seq136,0,0.8263
Seq55,Seq138,0,0.81196
Seq55,Seq142,0,0.77903
Seq55,Seq144,0,0.74177
Seq55,Seq143,0,0.74585
Seq55,Seq155,0,0.16719
Seq55,Seq148,0,0.66647
Seq55,Seq145,0,0.73481
Seq55,Seq146,0,0.82581
Seq55,Seq147,0,0.82666
Seq55,Seq149,0,0.74763
Seq55,Seq154,0,0.66953
Seq55,Seq152,0,0.708
Seq55,Seq156,0,0.63597
Seq55,Seq153,0,0.70177
Seq55,Seq150,0,0.77862
Seq55,Seq151,0,0.78809
Seq55,Seq163,0,0.47742
Seq55,Seq162,0,0.47892
Seq55,Seq164,0,0.47596
Seq55,Seq158,0,0.91369
Seq55,Seq159,2,0.91468
Seq55,Seq160,0,0.9242
Seq55,Seq166,0,0.47849
Seq55,Seq161,0,0.91579
Seq55,Seq167,0,0.48007
Seq55,Seq170,0,0.49766
Seq55,Seq168,0,0.51696
Seq55,Seq171,0,0.47773
Seq55,Seq172,0,0.47772
Seq55,Seq174,0,0.47662
Seq55,Seq173,0,0.51811
Seq55,Seq165,0,0.93954
Seq55,Seq175,0,0.48084
Seq55,Seq157,0,1.50066
Seq55,Seq177,0,0.4988
Seq55,Seq178,0,0.49785
Seq55,Seq180,0,0.49764
Seq55,Seq179,0,0.49962
Seq55,Seq181,0,0.50266
Seq55,Seq176,0,0.91398
Seq55,Seq169,0,1.42215
Seq56,Seq2,1341,1.31782
Seq56,Seq3,1320,1.31239
Seq56,Seq4,1322,1.306
Seq56,Seq1,1381,1.36365
Seq56,Seq5,1317,1.30814
Seq56,Seq9,1298,1.19205
Seq56,Seq6,1315,1.30636
Seq56,Seq11,1288,1.24334
Seq56,Seq8,1350,1.30797
Seq56,Seq13,1311,1.29211
Seq56,Seq10,1382,1.36081
Seq56,Seq12,1317,1.29858
Seq56,Seq14,1310,1.30423
Seq56,Seq7,0,1.65373
Seq56,Seq15,1350,1.33999
Seq56,Seq16,1339,1.27722
Seq56,Seq21,1216,1.1706
Seq56,Seq20,1348,1.36423
Seq56,Seq23,1218,1.17044
Seq56,Seq22,1248,1.23092
Seq56,Seq24,1250,1.22614
Seq56,Seq25,1261,1.21478
Seq56,Seq27,1337,1.27768
Seq56,Seq26,1335,1.28138
Seq56,Seq28,1308,1.36131
Seq56,Seq29,1407,1.31438
Seq56,Seq17,1355,1.78983
Seq56,Seq18,1350,1.78146
Seq56,Seq19,1353,1.77998
Seq56,Seq30,1181,1.31689
Seq56,Seq32,1328,1.23817
Seq56,Seq31,1320,1.31361
Seq56,Seq33,1232,1.14992
Seq56,Seq35,1280,1.23173
Seq56,Seq36,1340,1.29339
Seq56,Seq34,1315,1.37563
Seq56,Seq37,1318,1.27807
Seq56,Seq38,1323,1.27485
Seq56,Seq40,1325,1.27738
Seq56,Seq39,1324,1.28096
Seq56,Seq45,1294,1.22856
Seq56,Seq44,1301,1.23662
Seq56,Seq41,1319,1.28279
Seq56,Seq42,1313,1.28615
Seq56,Seq43,1310,1.28376
Seq56,Seq46,1298,1.23176
Seq56,Seq48,1249,1.21181
Seq56,Seq47,1264,1.22676
Seq56,Seq50,1247,1.21276
Seq56,Seq51,1254,1.21977
Seq56,Seq52,1322,1.31026
Seq56,Seq53,1349,1.34227
Seq56,Seq54,1426,1.36137
Seq56,Seq56,1470,1.29704
Seq56,Seq57,1297,1.28477
Seq56,Seq61,1293,1.2411
Seq56,Seq58,1344,1.31139
Seq56,Seq59,1324,1.29747
Seq56,Seq60,1324,1.29689
Seq56,Seq55,1334,1.41841
Seq56,Seq49,1328,1.90084
Seq56,Seq62,1277,1.22199
Seq56,Seq64,1287,1.24165
Seq56,Seq63,2,1.32257
Seq56,Seq65,1276,1.22732
Seq56,Seq66,1279,1.23202
Seq56,Seq67,1287,1.2482
Seq56,Seq68,1290,1.22898
Seq56,Seq69,0,1.3286
Seq56,Seq72,1287,1.23851
Seq56,Seq73,1286,1.2309
Seq56,Seq74,1266,1.22617
Seq56,Seq76,1274,1.21761
Seq56,Seq78,1220,1.16418
Seq56,Seq70,0,1.34576
Seq56,Seq75,0,1.28358
Seq56,Seq71,0,1.33427
Seq56,Seq77,0,1.26929
Seq56,Seq79,1281,1.23625
Seq56,Seq80,1277,1.22782
Seq56,Seq81,1297,1.25488
Seq56,Seq82,1280,1.23882
Seq56,Seq83,1285,1.25932
Seq56,Seq84,0,1.3188
Seq56,Seq85,2,1.32858
Seq56,Seq88,1284,1.25663
Seq56,Seq86,0,1.334
Seq56,Seq92,0,1.28074
Seq56,Seq87,0,1.34757
Seq56,Seq89,0,1.34725
Seq56,Seq93,0,1.30333
Seq56,Seq90,0,1.34827
Seq56,Seq91,0,1.3432
Seq56,Seq94,0,1.28177
Seq56,Seq95,0,1.27689
Seq56,Seq96,0,1.34489
Seq56,Seq105,0,0.59324
Seq56,Seq107,0,0.6092
Seq56,Seq108,0,0.61575
Seq56,Seq106,0,0.6202
Seq56,Seq97,0,1.32707
Seq56,Seq104,0,0.76152
Seq56,Seq109,0,0.73104
Seq56,Seq110,0,0.71481
Seq56,Seq98,0,1.32991
Seq56,Seq111,0,0.75083
Seq56,Seq112,0,0.70443
Seq56,Seq99,0,1.35491
Seq56,Seq100,0,1.32749
Seq56,Seq124,0,0.15194
Seq56,Seq102,0,1.29707
Seq56,Seq101,0,1.31676
Seq56,Seq125,0,0.15011
Seq56,Seq115,0,0.63084
Seq56,Seq114,0,0.64277
Seq56,Seq103,0,1.32775
Seq56,Seq116,0,0.67594
Seq56,Seq126,0,0.15015
Seq56,Seq113,0,0.74098
Seq56,Seq127,0,0.15129
Seq56,Seq128,0,0.14939
Seq56,Seq119,0,0.67377
Seq56,Seq120,0,0.67134
Seq56,Seq118,0,0.68293
Seq56,Seq117,0,0.70309
Seq56,Seq123,0,0.60694
Seq56,Seq121,0,0.75305
Seq56,Seq122,0,0.75105
Seq56,Seq130,0,0.59292
Seq56,Seq131,0,0.61127
Seq56,Seq132,0,0.61044
Seq56,Seq133,0,0.61538
Seq56,Seq129,0,0.75025
Seq56,Seq135,0,0.71546
Seq56,Seq134,0,0.75095
Seq56,Seq140,0,0.63781
Seq56,Seq139,0,0.64371
Seq56,Seq137,0,0.70707
Seq56,Seq136,0,0.75015
Seq56,Seq141,0,0.67708
Seq56,Seq138,0,0.73787
Seq56,Seq155,0,0.15279
Seq56,Seq143,0,0.67984
Seq56,Seq142,0,0.70755
Seq56,Seq144,0,0.67399
Seq56,Seq145,0,0.67117
Seq56,Seq148,0,0.60565
Seq56,Seq146,0,0.74932
Seq56,Seq147,0,0.75159
Seq56,Seq149,0,0.67723
Seq56,Seq154,0,0.6062
Seq56,Seq152,0,0.63329
Seq56,Seq153,0,0.63622
Seq56,Seq156,0,0.60046
Seq56,Seq150,0,0.70758
Seq56,Seq151,0,0.71602
Seq56,Seq162,0,0.43516
Seq56,Seq163,0,0.43388
Seq56,Seq164,0,0.43353
Seq56,Seq158,0,0.8355
Seq56,Seq166,0,0.43212
Seq56,Seq167,0,0.43168
Seq56,Seq159,2,0.83162
Seq56,Seq160,0,0.84365
Seq56,Seq170,0,0.43406
Seq56,Seq161,0,0.83282
Seq56,Seq168,0,0.46874
Seq56,Seq171,0,0.4348
Seq56,Seq172,0,0.43405
Seq56,Seq174,0,0.43362
Seq56,Seq173,0,0.46776
Seq56,Seq175,0,0.43312
Seq56,Seq165,0,0.85494
Seq56,Seq157,0,1.34897
Seq56,Seq177,0,0.45415
Seq56,Seq179,0,0.45351
Seq56,Seq178,0,0.45616
Seq56,Seq181,0,0.45049
Seq56,Seq180,0,0.46935
Seq56,Seq176,0,0.83441
Seq56,Seq169,0,1.29349
Seq57,Seq3,1328,1.29182
Seq57,Seq2,1301,1.30551
Seq57,Seq1,1327,1.32903
Seq57,Seq4,1329,1.29293
Seq57,Seq9,1249,1.17246
Seq57,Seq5,1309,1.2953
Seq57,Seq6,1311,1.28785
Seq57,Seq8,1328,1.29171
Seq57,Seq11,1387,1.23577
Seq57,Seq12,1416,1.28532
Seq57,Seq13,1416,1.2681
Seq57,Seq10,1330,1.3313
Seq57,Seq14,1449,1.28472
Seq57,Seq7,0,1.63542
Seq57,Seq15,1318,1.32918
Seq57,Seq16,1281,1.27107
Seq57,Seq20,1355,1.32598
Seq57,Seq21,1288,1.15718
Seq57,Seq23,1318,1.15901
Seq57,Seq22,1354,1.2132
Seq57,Seq25,1364,1.19935
Seq57,Seq24,1351,1.2125
Seq57,Seq26,1281,1.26425
Seq57,Seq27,1279,1.26278
Seq57,Seq29,1301,1.31639
Seq57,Seq28,1304,1.34045
Seq57,Seq17,1307,1.76925
Seq57,Seq19,1293,1.75929
Seq57,Seq18,1289,1.7862
Seq57,Seq30,1188,1.30394
Seq57,Seq32,1303,1.22323
Seq57,Seq31,1302,1.30302
Seq57,Seq33,1229,1.13864
Seq57,Seq35,1328,1.21696
Seq57,Seq34,1399,1.33367
Seq57,Seq36,1323,1.2767
Seq57,Seq38,1315,1.26177
Seq57,Seq37,1313,1.26455
Seq57,Seq40,1321,1.2606
Seq57,Seq39,1313,1.26866
Seq57,Seq44,1303,1.22366
Seq57,Seq45,1298,1.21571
Seq57,Seq42,1384,1.26486
Seq57,Seq41,1316,1.28298
Seq57,Seq43,1418,1.26753
Seq57,Seq46,1300,1.21615
Seq57,Seq47,1279,1.21184
Seq57,Seq48,1267,1.20112
Seq57,Seq50,1264,1.19516
Seq57,Seq51,1271,1.20243
Seq57,Seq52,1329,1.29055
Seq57,Seq53,1360,1.33116
Seq57,Seq54,1324,1.34525
Seq57,Seq56,1297,1.28178
Seq57,Seq61,1294,1.22169
Seq57,Seq57,1456,1.26575
Seq57,Seq59,1279,1.27677
Seq57,Seq58,1293,1.30121
Seq57,Seq55,1306,1.4015
Seq57,Seq60,1280,1.29498
Seq57,Seq62,1281,1.21347
Seq57,Seq49,1303,1.91954
Seq57,Seq64,1287,1.22458
Seq57,Seq63,2,1.30929
Seq57,Seq65,1278,1.21143
Seq57,Seq66,1283,1.2128
Seq57,Seq67,1292,1.2162
Seq57,Seq68,1291,1.21478
Seq57,Seq69,0,1.31659
Seq57,Seq72,1285,1.22227
Seq57,Seq74,1271,1.20918
Seq57,Seq76,1274,1.20122
Seq57,Seq73,1285,1.22217
Seq57,Seq70,0,1.33091
Seq57,Seq71,0,1.32009
Seq57,Seq75,0,1.26615
Seq57,Seq78,1232,1.1674
Seq57,Seq77,0,1.25333
Seq57,Seq79,1272,1.22218
Seq57,Seq80,1279,1.21902
Seq57,Seq81,1285,1.23981
Seq57,Seq82,1281,1.22287
Seq57,Seq83,1271,1.22799
Seq57,Seq84,0,1.30762
Seq57,Seq88,1278,1.2343
Seq57,Seq85,2,1.31651
Seq57,Seq86,0,1.32555
Seq57,Seq92,0,1.26068
Seq57,Seq89,0,1.33524
Seq57,Seq87,0,1.33966
Seq57,Seq90,0,1.33685
Seq57,Seq93,0,1.30999
Seq57,Seq91,0,1.33264
Seq57,Seq94,0,1.2682
Seq57,Seq95,0,1.26973
Seq57,Seq96,0,1.3295
Seq57,Seq105,0,0.58707
Seq57,Seq106,0,0.607
Seq57,Seq107,0,0.60419
Seq57,Seq108,0,0.60988
Seq57,Seq104,0,0.74713
Seq57,Seq97,0,1.32692
Seq57,Seq110,0,0.70775
Seq57,Seq109,0,0.7191
Seq57,Seq98,0,1.32204
Seq57,Seq111,0,0.74338
Seq57,Seq99,0,1.32185
Seq57,Seq112,0,0.69861
Seq57,Seq124,0,0.15031
Seq57,Seq100,0,1.3138
Seq57,Seq102,0,1.27314
Seq57,Seq101,0,1.31077
Seq57,Seq125,0,0.14965
Seq57,Seq114,0,0.63816
Seq57,Seq115,0,0.62955
Seq57,Seq126,0,0.14907
Seq57,Seq103,0,1.32237
Seq57,Seq113,0,0.73039
Seq57,Seq116,0,0.69044
Seq57,Seq127,0,0.14895
Seq57,Seq128,0,0.14598
Seq57,Seq118,0,0.67199
Seq57,Seq119,0,0.66555
Seq57,Seq117,0,0.70035
Seq57,Seq120,0,0.66398
Seq57,Seq123,0,0.60221
Seq57,Seq121,0,0.74168
Seq57,Seq122,0,0.74656
Seq57,Seq130,0,0.58996
Seq57,Seq131,0,0.60863
Seq57,Seq132,0,0.60242
Seq57,Seq133,0,0.611
Seq57,Seq129,0,0.75225
Seq57,Seq134,0,0.7229
Seq57,Seq135,0,0.70808
Seq57,Seq137,0,0.6993
Seq57,Seq139,0,0.63038
Seq57,Seq140,0,0.62885
Seq57,Seq136,0,0.74081
Seq57,Seq141,0,0.67202
Seq57,Seq138,0,0.72884
Seq57,Seq143,0,0.6722
Seq57,Seq142,0,0.70025
Seq57,Seq155,0,0.15017
Seq57,Seq144,0,0.67056
Seq57,Seq148,0,0.59989
Seq57,Seq145,0,0.66691
Seq57,Seq146,0,0.7427
Seq57,Seq147,0,0.74493
Seq57,Seq154,0,0.59955
Seq57,Seq149,0,0.67582
Seq57,Seq156,0,0.57385
Seq57,Seq153,0,0.62934
Seq57,Seq152,0,0.63693
Seq57,Seq150,0,0.69912
Seq57,Seq151,0,0.7078
Seq57,Seq162,0,0.43037
Seq57,Seq163,0,0.43258
Seq57,Seq164,0,0.4302
Seq57,Seq159,2,0.82253
Seq57,Seq158,0,0.82458
Seq57,Seq160,0,0.85286
Seq57,Seq166,0,0.42775
Seq57,Seq167,0,0.43147
Seq57,Seq170,0,0.4274
Seq57,Seq161,0,0.82524
Seq57,Seq168,0,0.46319
Seq57,Seq171,0,0.43115
Seq57,Seq172,0,0.42575
Seq57,Seq174,0,0.43233
Seq57,Seq173,0,0.46735
Seq57,Seq165,0,0.85018
Seq57,Seq175,0,0.42542
Seq57,Seq157,0,1.34217
Seq57,Seq177,0,0.44548
Seq57,Seq179,0,0.44367
Seq57,Seq178,0,0.44903
Seq57,Seq180,0,0.44922
Seq57,Seq181,0,0.44828
Seq57,Seq176,0,0.82235
Seq57,Seq169,0,1.27323
Seq58,Seq2,1390,1.33848
Seq58,Seq3,1366,1.32896
Seq58,Seq1,1390,1.36846
Seq58,Seq4,1369,1.33103
Seq58,Seq9,1271,1.20544
Seq58,Seq5,1359,1.34348
Seq58,Seq6,1357,1.33821
Seq58,Seq8,1379,1.3248
Seq58,Seq11,1273,1.26174
Seq58,Seq13,1318,1.31672
Seq58,Seq10,1389,1.37852
Seq58,Seq12,1320,1.33666
Seq58,Seq14,1309,1.32564
Seq58,Seq7,0,1.68664
Seq58,Seq15,1389,1.3678
Seq58,Seq16,1396,1.29751
Seq58,Seq21,1204,1.19772
Seq58,Seq20,1384,1.37234
Seq58,Seq23,1201,1.19066
Seq58,Seq22,1247,1.25136
Seq58,Seq24,1245,1.25092
Seq58,Seq25,1243,1.23243
Seq58,Seq27,1396,1.29642
Seq58,Seq26,1395,1.29912
Seq58,Seq28,1353,1.38115
Seq58,Seq29,1396,1.36275
Seq58,Seq18,1389,1.80205
Seq58,Seq17,1396,1.81626
Seq58,Seq19,1393,1.81858
Seq58,Seq30,1226,1.3424
Seq58,Seq32,1324,1.25687
Seq58,Seq31,1353,1.33458
Seq58,Seq33,1218,1.1677
Seq58,Seq35,1272,1.23972
Seq58,Seq34,1358,1.37418
Seq58,Seq36,1370,1.31597
Seq58,Seq38,1328,1.29549
Seq58,Seq37,1335,1.3001
Seq58,Seq40,1332,1.30409
Seq58,Seq39,1327,1.31205
Seq58,Seq41,1338,1.30154
Seq58,Seq44,1298,1.25735
Seq58,Seq45,1288,1.25122
Seq58,Seq42,1317,1.32545
Seq58,Seq43,1308,1.30324
Seq58,Seq46,1291,1.25348
Seq58,Seq47,1257,1.24467
Seq58,Seq48,1244,1.23044
Seq58,Seq50,1240,1.22965
Seq58,Seq51,1248,1.23713
Seq58,Seq52,1369,1.32975
Seq58,Seq53,1384,1.36267
Seq58,Seq54,1403,1.38358
Seq58,Seq56,1344,1.31624
Seq58,Seq57,1293,1.30286
Seq58,Seq61,1293,1.25581
Seq58,Seq59,1408,1.31744
Seq58,Seq58,1488,1.33346
Seq58,Seq60,1404,1.33409
Seq58,Seq55,1357,1.44951
Seq58,Seq62,1275,1.23849
Seq58,Seq49,1368,1.93191
Seq58,Seq64,1292,1.25523
Seq58,Seq63,2,1.33952
Seq58,Seq65,1270,1.24725
Seq58,Seq66,1273,1.24767
Seq58,Seq67,1283,1.25032
Seq58,Seq68,1287,1.25476
Seq58,Seq69,0,1.35087
Seq58,Seq74,1264,1.22912
Seq58,Seq72,1295,1.26354
Seq58,Seq73,1290,1.25237
Seq58,Seq76,1271,1.2365
Seq58,Seq70,0,1.36718
Seq58,Seq78,1211,1.18019
Seq58,Seq71,0,1.35618
Seq58,Seq75,0,1.30556
Seq58,Seq77,0,1.30274
Seq58,Seq79,1288,1.24791
Seq58,Seq80,1276,1.2452
Seq58,Seq81,1300,1.27553
Seq58,Seq82,1283,1.25465
Seq58,Seq83,1287,1.26766
Seq58,Seq84,0,1.33651
Seq58,Seq88,1290,1.26621
Seq58,Seq85,2,1.35412
Seq58,Seq86,0,1.35656
Seq58,Seq87,0,1.37739
Seq58,Seq92,0,1.29969
Seq58,Seq89,0,1.37124
Seq58,Seq91,0,1.36577
Seq58,Seq90,0,1.38108
Seq58,Seq93,0,1.35198
Seq58,Seq94,0,1.30998
Seq58,Seq95,0,1.29584
Seq58,Seq96,0,1.37223
Seq58,Seq105,0,0.6011
Seq58,Seq106,0,0.62206
Seq58,Seq107,0,0.62177
Seq58,Seq108,0,0.62761
Seq58,Seq104,0,0.77081
Seq58,Seq97,0,1.3686
Seq58,Seq110,0,0.73278
Seq58,Seq109,0,0.76874
Seq58,Seq111,0,0.75514
Seq58,Seq98,0,1.36383
Seq58,Seq112,0,0.71932
Seq58,Seq99,0,1.36909
Seq58,Seq100,0,1.3487
Seq58,Seq124,0,0.15251
Seq58,Seq102,0,1.30769
Seq58,Seq101,0,1.34391
Seq58,Seq125,0,0.15378
Seq58,Seq115,0,0.64969
Seq58,Seq114,0,0.65414
Seq58,Seq126,0,0.15451
Seq58,Seq103,0,1.35863
Seq58,Seq116,0,0.6896
Seq58,Seq113,0,0.74576
Seq58,Seq127,0,0.15301
Seq58,Seq128,0,0.15416
Seq58,Seq118,0,0.69106
Seq58,Seq117,0,0.71959
Seq58,Seq119,0,0.68431
Seq58,Seq120,0,0.68726
Seq58,Seq123,0,0.61588
Seq58,Seq121,0,0.76441
Seq58,Seq122,0,0.76769
Seq58,Seq130,0,0.60304
Seq58,Seq131,0,0.62207
Seq58,Seq132,0,0.62513
Seq58,Seq133,0,0.62638
Seq58,Seq129,0,0.7637
Seq58,Seq135,0,0.72489
Seq58,Seq134,0,0.74678
Seq58,Seq137,0,0.72205
Seq58,Seq136,0,0.76144
Seq58,Seq139,0,0.65259
Seq58,Seq140,0,0.64843
Seq58,Seq138,0,0.75107
Seq58,Seq141,0,0.71263
Seq58,Seq142,0,0.71973
Seq58,Seq155,0,0.15321
Seq58,Seq143,0,0.69124
Seq58,Seq144,0,0.68601
Seq58,Seq148,0,0.61612
Seq58,Seq145,0,0.68252
Seq58,Seq146,0,0.76246
Seq58,Seq147,0,0.76601
Seq58,Seq149,0,0.68761
Seq58,Seq154,0,0.61645
Seq58,Seq153,0,0.64625
Seq58,Seq152,0,0.65677
Seq58,Seq150,0,0.7151
Seq58,Seq156,0,0.58693
Seq58,Seq151,0,0.72655
Seq58,Seq162,0,0.44275
Seq58,Seq163,0,0.4415
Seq58,Seq158,0,0.84645
Seq58,Seq164,0,0.43997
Seq58,Seq159,2,0.85195
Seq58,Seq160,0,0.85647
Seq58,Seq161,0,0.84428
Seq58,Seq166,0,0.44371
Seq58,Seq167,0,0.44531
Seq58,Seq170,0,0.44255
Seq58,Seq171,0,0.44354
Seq58,Seq168,0,0.47643
Seq58,Seq172,0,0.4376
Seq58,Seq174,0,0.44001
Seq58,Seq173,0,0.47835
Seq58,Seq175,0,0.44148
Seq58,Seq165,0,0.87353
Seq58,Seq177,0,0.46241
Seq58,Seq178,0,0.46156
Seq58,Seq179,0,0.46186
Seq58,Seq180,0,0.45892
Seq58,Seq157,0,1.40067
Seq58,Seq181,0,0.46098
Seq58,Seq176,0,0.84754
Seq58,Seq169,0,1.31411
Seq59,Seq3,1347,1.30673
Seq59,Seq2,1348,1.31544
Seq59,Seq4,1350,1.30617
Seq59,Seq1,1355,1.33948
Seq59,Seq5,1339,1.30719
Seq59,Seq6,1336,1.30422
Seq59,Seq9,1249,1.18817
Seq59,Seq11,1263,1.24478
Seq59,Seq8,1363,1.3078
Seq59,Seq12,1309,1.28922
Seq59,Seq13,1307,1.31116
Seq59,Seq14,1297,1.29517
Seq59,Seq10,1353,1.35481
Seq59,Seq7,0,1.65419
Seq59,Seq15,1351,1.34477
Seq59,Seq16,1398,1.2771
Seq59,Seq20,1357,1.3387
Seq59,Seq21,1198,1.16405
Seq59,Seq23,1191,1.16774
Seq59,Seq22,1239,1.22598
Seq59,Seq25,1233,1.21536
Seq59,Seq24,1237,1.22468
Seq59,Seq26,1396,1.27322
Seq59,Seq27,1401,1.27404
Seq59,Seq29,1364,1.30858
Seq59,Seq28,1349,1.35716
Seq59,Seq18,1355,1.77773
Seq59,Seq17,1371,1.78569
Seq59,Seq19,1361,1.78227
Seq59,Seq30,1222,1.31499
Seq59,Seq32,1313,1.2378
Seq59,Seq31,1355,1.31082
Seq59,Seq33,1219,1.14525
Seq59,Seq35,1264,1.23003
Seq59,Seq34,1335,1.34869
Seq59,Seq36,1366,1.28936
Seq59,Seq37,1328,1.27805
Seq59,Seq38,1318,1.27489
Seq59,Seq39,1320,1.27784
Seq59,Seq40,1322,1.29499
Seq59,Seq41,1328,1.27462
Seq59,Seq45,1285,1.22882
Seq59,Seq44,1293,1.23738
Seq59,Seq42,1307,1.27743
Seq59,Seq43,1295,1.27876
Seq59,Seq46,1288,1.22964
Seq59,Seq48,1234,1.20759
Seq59,Seq47,1246,1.22615
Seq59,Seq50,1232,1.20657
Seq59,Seq51,1238,1.2137
Seq59,Seq52,1350,1.30339
Seq59,Seq53,1355,1.34303
Seq59,Seq54,1363,1.3578
Seq59,Seq57,1279,1.27629
Seq59,Seq56,1324,1.31801
Seq59,Seq61,1291,1.23715
Seq59,Seq59,1469,1.29132
Seq59,Seq58,1408,1.30332
Seq59,Seq55,1335,1.41688
Seq59,Seq60,1459,1.29232
